Year,Season,State,District,Crop,Crop_Category,Area_Sown_Current_ha,Area_Sown_Last_Year_ha,Area_Sown_3yr_Avg_ha,Area_Growth_Rate_percent,Production_Last_Year_tons,Production_2yr_Back_tons,Production_3yr_Avg_tons,Production_5yr_Avg_tons,Production_Growth_Rate_percent,Yield_Last_Year_kg_per_ha,Yield_3yr_Avg_kg_per_ha,Total_Rainfall_mm,Rainfall_Deviation_percent,Avg_Temperature_C,Max_Temperature_C,Min_Temperature_C,Avg_Humidity_percent,Extreme_Heat_Days,Extreme_Rain_Days,Drought_Index,Production_tons
2015,Kharif,Rajasthan,Barmer,Pearl Millet,millets,50534.32,52957.01,52679.13,-4.57,82461.33,85581.29,83918.42,87344.52,-3.26,1557.14,1544.98,317.88,-14.7,29.05,34.24,23.06,66.0,17,13,0.0,80093.72
2015,Kharif,Rajasthan,Barmer,Finger Millet,millets,60495.41,61910.55,62408.02,-2.29,122111.21,116549.07,125328.77,119695.98,2.6,1972.38,1944.57,506.37,-11.48,24.43,32.65,18.81,76.89,2,17,0.0,122389.87
2015,Kharif,Rajasthan,Barmer,Sorghum,millets,72228.51,71408.88,70502.41,1.15,136979.64,140514.01,140720.12,146365.78,12.11,1918.24,1988.54,528.08,1.74,32.34,38.48,25.56,66.81,22,20,0.0,142292.19
2015,Kharif,Rajasthan,Barmer,Foxtail Millet,millets,44682.79,45060.49,45583.35,-0.84,50645.17,54092.21,51598.12,50238.06,1.49,1123.94,1154.09,333.56,27.53,32.05,39.86,26.72,76.53,18,10,0.0,50212.93
2015,Kharif,Rajasthan,Barmer,Kodo Millet,millets,75581.28,71351.24,70128.17,5.93,54766.1,56912.83,54979.56,57214.22,3.57,767.56,773.97,517.2,39.81,25.38,33.84,16.6,74.44,4,20,0.0,60106.94
2015,Kharif,Rajasthan,Barmer,Barnyard Millet,millets,35594.48,33857.55,34268.05,5.13,33915.0,34203.83,35415.51,35204.73,-2.71,1001.7,1040.24,750.53,23.8,27.4,34.46,21.61,40.13,23,8,1.916,37522.92
2015,Kharif,Rajasthan,Barmer,Little Millet,millets,70340.6,70288.89,72222.22,0.07,82228.67,77661.22,84387.26,84197.05,10.57,1169.87,1173.42,300.34,-7.31,24.19,35.7,14.8,73.27,9,7,0.0,88510.38
2015,Kharif,Rajasthan,Barmer,Proso Millet,millets,11796.64,11424.01,11152.45,3.26,16412.44,17110.52,15802.54,16700.13,6.0,1436.66,1402.91,823.46,-0.38,26.12,34.89,17.47,48.05,9,12,1.985,17455.81
2015,Kharif,Rajasthan,Jaisalmer,Pearl Millet,millets,39295.63,37857.51,37134.06,3.8,59039.38,57509.88,59560.75,58626.78,-0.6,1559.52,1492.61,678.66,-13.97,33.05,44.07,27.7,49.52,21,15,0.0,56775.61
2015,Rabi,Rajasthan,Jaisalmer,Finger Millet,millets,23930.95,23224.79,23378.9,3.04,38561.37,39542.27,37999.53,38989.8,12.28,1660.35,1586.33,692.07,15.23,24.61,34.7,15.6,44.37,6,6,0.609,36874.46
2015,Kharif,Rajasthan,Jaisalmer,Sorghum,millets,19299.06,18761.6,19675.36,2.86,36175.27,37958.11,37462.98,35444.19,8.04,1928.15,1935.98,308.85,-23.47,31.54,38.19,24.5,59.25,27,12,1.707,34715.69
2015,Kharif,Rajasthan,Jaisalmer,Foxtail Millet,millets,5246.16,5161.65,5437.22,1.64,8992.4,8683.42,9169.18,9379.53,10.67,1742.16,1770.36,592.0,-16.71,26.18,31.59,17.5,42.44,10,1,0.0,9097.19
2015,Kharif,Rajasthan,Jaisalmer,Kodo Millet,millets,76933.75,73954.03,72114.0,4.03,89439.58,94467.41,85580.45,87364.23,12.24,1209.39,1197.76,864.96,9.88,29.79,35.07,24.38,66.29,18,16,0.0,88591.4
2015,Rabi,Rajasthan,Jaisalmer,Barnyard Millet,millets,23297.27,22901.45,23598.84,1.73,24275.45,23561.47,24886.87,23723.29,4.17,1060.0,1112.83,897.66,-24.87,26.13,32.99,16.47,75.23,28,7,0.109,23004.63
2015,Rabi,Rajasthan,Jaisalmer,Little Millet,millets,56870.51,50875.83,52344.0,11.78,25875.72,27188.57,25356.6,26816.02,13.78,508.61,490.01,369.26,-22.51,29.53,36.44,21.51,68.7,6,20,1.559,28955.94
2015,Rabi,Rajasthan,Jaisalmer,Proso Millet,millets,79741.02,72900.24,71318.8,9.38,77706.79,74930.24,73849.01,81367.71,7.74,1065.93,1040.56,744.74,8.62,28.28,33.34,22.9,75.32,28,4,0.637,90686.64
2015,Kharif,Rajasthan,Jodhpur,Pearl Millet,millets,47479.58,48688.22,47786.03,-2.48,82439.54,87702.24,84880.76,87061.95,12.98,1693.21,1644.12,449.72,-22.8,31.8,42.99,24.77,64.83,4,7,1.594,88049.79
2015,Kharif,Rajasthan,Jodhpur,Finger Millet,millets,67850.52,71106.22,73686.72,-4.58,146814.09,156934.07,151251.33,155095.35,11.21,2064.72,2016.57,772.42,-22.43,32.72,43.73,26.61,72.66,14,11,0.0,148367.12
2015,Kharif,Rajasthan,Jodhpur,Sorghum,millets,21054.96,22069.66,21791.18,-4.6,52041.26,55075.08,54471.01,51932.63,7.83,2358.05,2334.39,888.69,7.54,33.39,39.2,23.54,47.14,30,8,0.0,50607.48
2015,Kharif,Rajasthan,Jodhpur,Foxtail Millet,millets,33514.86,30926.53,31213.39,8.37,61268.03,57500.25,63715.72,60594.56,-4.11,1981.08,1968.42,611.95,26.46,30.87,42.45,22.18,47.88,13,2,1.847,71983.2
2015,Kharif,Rajasthan,Jodhpur,Kodo Millet,millets,54984.47,51736.66,50764.85,6.28,86920.49,87019.54,88371.13,87148.07,8.94,1680.06,1689.2,415.1,16.55,27.79,38.03,21.92,62.76,12,17,1.501,88753.51
2015,Kharif,Rajasthan,Jodhpur,Barnyard Millet,millets,39051.46,37241.61,38318.77,4.86,46849.42,46415.85,45508.13,47660.79,13.02,1257.99,1295.23,401.81,-24.06,29.15,38.59,22.48,72.74,24,7,1.018,46420.71
2015,Kharif,Rajasthan,Jodhpur,Little Millet,millets,15375.08,16051.55,16991.43,-4.21,18818.86,19627.28,18734.95,19921.9,6.51,1172.4,1198.0,530.39,-2.02,25.48,35.29,16.01,74.42,28,3,1.335,17012.14
2015,Rabi,Rajasthan,Jodhpur,Proso Millet,millets,8699.44,8766.38,9172.7,-0.76,9661.5,10127.44,9823.4,10326.1,6.91,1102.11,1151.71,834.86,12.89,31.19,39.73,22.04,61.91,28,5,1.231,9539.16
2015,Kharif,Rajasthan,Bikaner,Pearl Millet,millets,24244.6,24439.37,25108.75,-0.8,59272.84,59474.84,60024.11,59122.27,-3.45,2425.3,2373.33,463.03,-7.62,29.4,35.37,23.25,67.76,22,6,0.0,57713.84
2015,Rabi,Rajasthan,Bikaner,Finger Millet,millets,35646.18,36183.07,36465.76,-1.48,109932.32,111411.2,112081.74,116052.6,10.31,3038.23,3001.88,303.54,-5.38,31.53,42.51,21.77,56.76,23,17,1.4,116917.81
