Year,District,Crop,Predicted_Production_tons,Predicted_Demand_tons,Supply_Demand_Gap_tons,Supply_Demand_Gap_percent,Production_to_Demand_Ratio,Production_Growth_percent,Demand_Growth_percent,Avg_Mandi_Price_Current,Price_Change_percent,Mandi_Arrival_Growth_percent,Buffer_Stock_Level_tons,Oversupply_Risk_Level
2015,Barmer,Pearl Millet,209856.7,160016.86,49839.84,31.15,1.3115,-0.3,-0.54,3709.41,3.68,21.23,5260.0,2
2015,Barmer,Finger Millet,155480.45,118926.78,36553.67,30.74,1.3074,-1.88,5.11,1579.61,-13.04,12.75,27702.13,2
2015,Barmer,Sorghum,105110.16,109801.52,-4691.36,-4.27,0.9573,14.66,-4.87,3917.46,4.43,1.91,8618.5,0
2015,Barmer,Foxtail Millet,289303.27,265666.4,23636.87,8.9,1.089,-5.4,-3.07,4042.48,1.13,18.25,36756.86,1
2015,Barmer,Kodo Millet,184057.02,227597.16,-43540.14,-19.13,0.8087,2.6,6.04,3988.21,1.65,20.16,29290.26,0
2015,Barmer,Barnyard Millet,226142.96,174788.65,51354.31,29.38,1.2938,-1.62,0.79,1739.38,-11.85,-6.46,14620.71,2
2015,Barmer,Little Millet,208921.11,194801.41,14119.71,7.25,1.0725,2.37,-0.81,2300.93,12.78,12.68,30847.42,1
2015,Barmer,Proso Millet,92784.66,103414.39,-10629.73,-10.28,0.8972,-3.42,2.59,4468.57,2.4,9.49,34546.1,0
2015,Jaisalmer,Pearl Millet,260712.98,296691.36,-35978.38,-12.13,0.8787,-1.59,-4.36,2446.36,-10.63,-2.62,47202.58,0
2015,Jaisalmer,Finger Millet,269091.91,244157.57,24934.34,10.21,1.1021,10.35,2.91,4243.64,-3.94,-0.73,13084.75,1
2015,Jaisalmer,Sorghum,190342.03,167761.91,22580.12,13.46,1.1346,8.37,12.96,2698.2,-12.32,24.91,25966.79,1
2015,Jaisalmer,Foxtail Millet,72727.35,56258.84,16468.51,29.27,1.2927,-4.93,7.55,3876.24,-5.22,-7.78,19699.35,2
2015,Jaisalmer,Kodo Millet,299030.35,303383.38,-4353.04,-1.43,0.9857,19.19,12.22,1534.44,5.23,13.86,27311.55,0
2015,Jaisalmer,Barnyard Millet,116706.3,124931.86,-8225.56,-6.58,0.9342,-4.88,3.7,2861.17,13.38,20.65,13906.06,0
2015,Jaisalmer,Little Millet,175146.53,147005.02,28141.5,19.14,1.1914,17.55,12.41,2395.33,2.36,11.31,8489.12,2
2015,Jaisalmer,Proso Millet,240627.7,245365.54,-4737.84,-1.93,0.9807,13.8,5.61,1501.72,-8.65,-9.32,46525.83,0
2015,Jodhpur,Pearl Millet,269680.47,314402.33,-44721.86,-14.22,0.8578,0.61,-3.84,4134.03,13.14,-7.0,24813.53,0
2015,Jodhpur,Finger Millet,67303.13,76072.8,-8769.67,-11.53,0.8847,13.44,-2.43,2925.85,-0.76,-0.72,43749.22,0
2015,Jodhpur,Sorghum,155784.49,133335.8,22448.68,16.84,1.1684,7.1,9.6,2103.45,-9.09,24.83,32844.02,2
2015,Jodhpur,Foxtail Millet,159525.02,160926.91,-1401.89,-0.87,0.9913,-4.61,-0.51,2514.26,0.59,-1.95,11790.65,0
2015,Jodhpur,Kodo Millet,67748.27,72189.27,-4441.0,-6.15,0.9385,-1.59,13.11,4078.91,-17.52,-1.67,33779.91,0
2015,Jodhpur,Barnyard Millet,103559.2,84520.46,19038.75,22.53,1.2253,18.19,6.42,2918.01,7.46,18.26,10330.09,2
2015,Jodhpur,Little Millet,74232.7,71673.57,2559.13,3.57,1.0357,3.86,4.34,3687.23,3.57,24.45,5822.48,0
2015,Jodhpur,Proso Millet,150655.32,138550.36,12104.96,8.74,1.0874,16.13,-0.03,2070.63,-4.3,4.77,14648.71,1
2015,Bikaner,Pearl Millet,112451.61,136250.06,-23798.45,-17.47,0.8253,4.41,12.23,3150.98,-18.23,24.97,41965.35,0
2015,Bikaner,Finger Millet,292249.06,354551.74,-62302.68,-17.57,0.8243,15.76,-1.67,2956.92,-12.52,4.04,3873.13,0
2015,Bikaner,Sorghum,144743.28,179865.88,-35122.6,-19.53,0.8047,-0.57,10.68,2865.03,-5.19,23.51,49775.71,0
2015,Bikaner,Foxtail Millet,188942.08,209575.34,-20633.26,-9.85,0.9015,-3.67,0.93,4406.13,0.27,8.98,37650.8,0
2015,Bikaner,Kodo Millet,64291.32,66997.26,-2705.94,-4.04,0.9596,6.08,12.05,1972.3,13.63,-7.2,10105.42,0
2015,Bikaner,Barnyard Millet,198758.78,216171.29,-17412.52,-8.05,0.9195,-1.41,-2.6,4170.86,-11.38,10.81,31349.69,0
